Шал,Тагт,Ашиглалтанд орсон он,Гараж,Цонх,Барилгын давхар,Хаалга,Талбай,Хэдэн давхарт,Төлбөрийн нөхцөл,Цонхны тоо,Барилгын явц,Цахилгаан шаттай эсэх,price_text,price_numeric,area_numeric,address_text,district,url,Website
Паркет,1 тагттай,2017,Байгаа,Вакум,10,Мод,40.0 м²,8,Банкны зээлээр авах боломжтой,2,Ашиглалтад орсон,Цахилгаан шаттай,140 сая₮үнэ тохирно,140.0,40.0,"УБ — Хан-Уул, Нисэх",Хан-Уул,https://www.unegui.mn/adv/9602502_nisekhiin-toirogt-2-oroo-bair-zarna/,
Паркет,1 тагттай,2017,Байгаа,Вакум,12,Бүргэд,46.21 м²,11,Бэлэн төлөлтөөр зарах боломжтой,2,Ашиглалтад орсон,Цахилгаан шаттай,254 сая₮,254.0,46.21,"УБ — Баянзүрх, Баянзүрх, Хороо 26",Баянзүрх,https://www.unegui.mn/adv/9607278_bzd-26-r-khoroo-elizabet-khotkhond-46-21-mkv-2-oroo-oron-suuts-khudaldana/,
Паркет,1 тагттай,2018,Байхгүй,Вакум,6,Бүргэд,56.0 м²,3,Бэлэн төлөлтөөр зарах боломжтой,2,Ашиглалтад орсон,Цахилгаан шатгүй,125 сая₮үнэ тохирно,125.0,56.0,"УБ — Баянзүрх, Цайз 16",Баянзүрх,https://www.unegui.mn/adv/9607100_tsaiz-16-shuuhiin-shiidver-guitsetgehiin-bairand-56-mk-2-uruu/,
Паркет,1 тагттай,2014,Байхгүй,Вакум,9,Төмөр,58.0 м²,4,Банкны зээлээр авах боломжтой,4,Ашиглалтад орсон,Цахилгаан шаттай,245 сая₮,245.0,58.0,"УБ — Баянзүрх, Баянзүрх, Хороо 25",Баянзүрх,https://www.unegui.mn/adv/9605202_2oroo-bair-zarna/,
Паркет,1 тагттай,2008,Байхгүй,Вакум,9,Бүргэд,47.3 м²,7,Бэлэн төлөлтөөр зарах боломжтой,2,Ашиглалтад орсон,Цахилгаан шаттай,178 сая₮үнэ тохирно,178.0,47.3,"УБ — Баянгол, Богд-Ар",Баянгол,https://www.unegui.mn/adv/9552449_bogd-ar-khoroolold-2-oroo-khudaldana/,
Паркет,1 тагттай,2025,Байхгүй,Вакум,16,Бүргэд,38.0 м²,11,Бэлэн төлөлтөөр зарах боломжтой,2,Ашиглалтад орсон,Цахилгаан шаттай,125.4 сая₮үнэ тохирно,125.4,38.0,"УБ — Баянзүрх, Баянзүрх, Хороо 18",Баянзүрх,https://www.unegui.mn/adv/9599648_shine-ashiglaltad-orson-admiral-khotkhond-shine-2-oroo-bair-zarna/,
Паркет,1 тагттай,2011,Байхгүй,Вакум,13,Бүргэд,77.0 м²,13,Банкны зээлээр авах боломжтой,3,Ашиглалтад орсон,Цахилгаан шаттай,465 сая₮үнэ тохирно,465.0,77.0,"УБ — Сүхбаатар, 5-р хороолол",Сүхбаатар,https://www.unegui.mn/adv/9378627_khotyn-tovd-tsirk-oros3-khazhuud-nomun-khotkhond-2-oroo-77m2-bair-zarna/,
Паркет,Тагтгүй,2014,Байхгүй,Вакум,15,Төмөр,67.28 м²,6,Банкны зээлээр авах боломжтой,2,Ашиглалтад орсон,Цахилгаан шаттай,6.5 сая₮,6.5,67.28,"УБ — Баянзүрх, Баянзүрх, Хороо 26",Баянзүрх,https://www.unegui.mn/adv/9577233_enkanto-1-2-oroo-oron-suuts-zarna/,
Паркет,1 тагттай,2022,Байгаа,Вакум,14,Бүргэд,54.36 м²,10,Бэлэн төлөлтөөр зарах боломжтой,2,Ашиглалтад орсон,Цахилгаан шаттай,4.3 сая₮,4.3,54.36,"УБ — Сүхбаатар, Сүхбаатар, Хороо 9",Сүхбаатар,https://www.unegui.mn/adv/9601768_sbd-telmuun-tauer-605-bairand-2-oroo-zarna/,
Паркет,1 тагттай,2025,Байхгүй,Вакум,7,Бүргэд,44.0 м²,5,Бэлэн төлөлтөөр зарах боломжтой,2,Ашиглалтад орсон,Цахилгаан шаттай,3.9 сая₮үнэ тохирно,3.9,44.0,"УБ — Баянзүрх, Баянзүрх, Хороо 14",Баянзүрх,https://www.unegui.mn/adv/9481636_2-oroo-oron-suuts-zarna/,
Паркет,1 тагттай,2016,Байхгүй,Вакум,16,Бүргэд,47.8 м²,5,Банкны зээлээр авах боломжтой,2,Ашиглалтад орсон,Цахилгаан шаттай,219 сая₮,219.0,47.8,"УБ — Баянзүрх, Зүүн 4 зам",Баянзүрх,https://www.unegui.mn/adv/9601490_zuun-4-zamyn-uulzvar-deer-nomintoi-bairand-2-oroo-gerchilgee-belen-bair-zarna/,
Паркет,1 тагттай,2020,Байхгүй,Вакум,23,Бүргэд,55.04 м²,15,Бэлэн төлөлтөөр зарах боломжтой,3,Ашиглалтад орсон,Цахилгаан шаттай,460 сая₮үнэ тохирно,460.0,55.04,"УБ — Хан-Уул, Хан-Уул, Хороо 15",Хан-Уул,https://www.unegui.mn/adv/9573083_tsengeldekh-khotkhon-2-r-eelzhind-2-oroo-zarna/,
Паркет,1 тагттай,2020,Байхгүй,Вакум,5,Бүргэд,50.5 м²,4,Банкны зээлээр авах боломжтой,3,Ашиглалтад орсон,Цахилгаан шатгүй,140 сая₮үнэ тохирно,140.0,50.5,"УБ — Баянзүрх, Улаанхуаран",Баянзүрх,https://www.unegui.mn/adv/9598294_2-oroo-bair-zarna/,
Паркет,1 тагттай,2018,Байхгүй,Вакум,16,Бүргэд,61.08 м²,15,Бэлэн төлөлтөөр зарах боломжтой,2,Ашиглалтад орсон,Цахилгаан шаттай,189 сая₮үнэ тохирно,189.0,61.08,"УБ — Баянзүрх, Улаанхуаран",Баянзүрх,https://www.unegui.mn/adv/9579633_bzd-ulaankhuaran-etses-jr-residence-2oroo-bair-khulaldana/,
Паркет,1 тагттай,2025,Байхгүй,Вакум,16,Бүргэд,40.86 м²,7,Бэлэн төлөлтөөр зарах боломжтой,2,Ашиглалтад ороогүй,Цахилгаан шаттай,130 сая₮,130.0,40.86,"УБ — Хан-Уул, Нисэх",Хан-Уул,https://www.unegui.mn/adv/9597011_nisekh-garden-khill-khotkhon/,
Паркет,Тагтгүй,2018,Байхгүй,Вакум,16,Төмөр,54.0 м²,13,Бэлэн төлөлтөөр зарах боломжтой,3,Ашиглалтад орсон,Цахилгаан шаттай,320 сая₮,320.0,54.0,"УБ — Хан-Уул, Хан-Уул, Хороо 17",Хан-Уул,https://www.unegui.mn/adv/9561036_king-tauer-khotkhon-54-4m2-2oroo-bair-khudaldana/,
Паркет,1 тагттай,2012,Байхгүй,Вакум,5,Бүргэд,42.6 м²,3,Бэлэн төлөлтөөр зарах боломжтой,2,Ашиглалтад орсон,Цахилгаан шатгүй,175 сая₮үнэ тохирно,175.0,42.6,"УБ — Баянгол, 10-р хороолол",Баянгол,https://www.unegui.mn/adv/9595433_10khoroolol/,
Паркет,1 тагттай,2001,Байхгүй,Вакум,6,Бүргэд,54.0 м²,6,Банкны зээлээр авах боломжтой,3,Ашиглалтад орсон,Цахилгаан шатгүй,178 сая₮,178.0,54.0,"УБ — Баянгол, 10-р хороолол",Баянгол,https://www.unegui.mn/adv/9580274_gal-togoo-tusdaa-2-oroo/,
Паркет,1 тагттай,2025,Байхгүй,Вакум,17,Төмөр,55.4 м²,14,Бэлэн төлөлтөөр зарах боломжтой,3,Ашиглалтад орсон,Цахилгаан шаттай,4.5 сая₮үнэ тохирно,4.5,55.4,"УБ — Сүхбаатар, Сүхбаатар, Хороо 11",Сүхбаатар,https://www.unegui.mn/adv/9602660_khangai-khotkhony-urd-shineer-ashiglaltand-orson-ms-international-17davkhar-oron-suuts/,
Паркет,1 тагттай,2025,Байхгүй,Вакум,16,Бүргэд,48.0 м²,3,Бэлэн төлөлтөөр зарах боломжтой,4,Ашиглалтад орсон,Цахилгаан шаттай,170 сая₮,170.0,48.0,"УБ — Баянзүрх, 16-р хороолол",Баянзүрх,https://www.unegui.mn/adv/9540559_bzd-16-khoroolold-gal-togoo-tusdaa-2-oroo-bair/,
Паркет,1 тагттай,2025,Байхгүй,Вакум,16,Бүргэд,60.2 м²,14,Банкны зээлээр авах боломжтой,3,Ашиглалтад орсон,Цахилгаан шаттай,270.9 сая₮үнэ тохирно,270.9,60.2,"УБ — Сүхбаатар, Сүхбаатар, Хороо 11",Сүхбаатар,https://www.unegui.mn/adv/9586963_bankny-zeelend-khamrgadakh-bolomzhtoi-2-oroo-60-2-mkv-bair-zarna/,
Паркет,1 тагттай,2022,Байгаа,Вакум,16,Бүргэд,61.0 м²,15,Банкны зээлээр авах боломжтой,4,Ашиглалтад орсон,Цахилгаан шаттай,201 сая₮,201.0,61.0,"УБ — Хан-Уул, Хан-Уул, Хороо 21",Хан-Уул,https://www.unegui.mn/adv/9492476_eagle-town-khotkhond-61mkv-3-oroo-khudaldana/,
Паркет,1 тагттай,2018,Байхгүй,Вакум,12,Бүргэд,61.29 м²,2,Бэлэн төлөлтөөр зарах боломжтой,3,Ашиглалтад орсон,Цахилгаан шаттай,233 сая₮,233.0,61.29,"УБ — Хан-Уул, Мишээл",Хан-Уул,https://www.unegui.mn/adv/9447495_misheel-ekspogiin-khazhuud-61m2-2-oroo/,
Паркет,1 тагттай,2025,Байхгүй,Вакум,7,Бүргэд,44.06 м²,2,Бэлэн төлөлтөөр зарах боломжтой,2,Ашиглалтад орсон,Цахилгаан шаттай,171.83 сая₮үнэ тохирно,171.83,44.06,"УБ — Баянзүрх, Баянзүрх, Хороо 14",Баянзүрх,https://www.unegui.mn/adv/9607602_zhukovt-bairlaltai-buiant-od-khotkhond-2-oroo-bair-zarna/,
Паркет,1 тагттай,1981,Байхгүй,Вакум,4,Бүргэд,50.0 м²,2,Бэлэн төлөлтөөр зарах боломжтой,3,Ашиглалтад орсон,Цахилгаан шатгүй,450 сая₮үнэ тохирно,450.0,50.0,"УБ — Чингэлтэй, Чингэлтэй, Хороо 1",Чингэлтэй,https://www.unegui.mn/adv/9590479_ikh-delguuriin-zuun-tald-1-r-40-miangat-tov-zamruu-kharsan-tsonkhtoi/,
Паркет,1 тагттай,2011,Байхгүй,Вакум,12,Бүргэд,48.19 м²,10,Бэлэн төлөлтөөр зарах боломжтой,2,Ашиглалтад орсон,Цахилгаан шаттай,240 сая₮,240.0,48.19,"УБ — Хан-Уул, 19-р хороолол",Хан-Уул,https://www.unegui.mn/adv/9584063_19-khiimor-khotkhond-2-oroo-bair/,
Паркет,1 тагттай,2012,Байхгүй,Вакум,12,Төмөр вакум,63.3 м²,2,Банкны зээлээр авах боломжтой,2,Ашиглалтад орсон,Цахилгаан шаттай,215 сая₮,215.0,63.3,"УБ — Баянзүрх, 14-р хороолол",Баянзүрх,https://www.unegui.mn/adv/9606694_bzd-khaldvartyn-emnelgiin-urd-tumen-nast-khotkhond-2-oroo-bair-zarna/,
Паркет,1 тагттай,2010,Байхгүй,Вакум,7,Бүргэд,36.22 м²,7,Бэлэн төлөлтөөр зарах боломжтой,2,Ашиглалтад орсон,Цахилгаан шаттай,145 сая₮,145.0,36.22,"УБ — Баянгол, 3, 4 хороолол",Баянгол,https://www.unegui.mn/adv/9606665_2-oroo-tselger-saruul-khagas-tavilgatai-bair-zarna/,
Паркет,1 тагттай,2014,Байхгүй,Вакум,6,Бүргэд,46.8 м²,2,Банкны зээлээр авах боломжтой,2,Ашиглалтад орсон,Цахилгаан шатгүй,165 сая₮үнэ тохирно,165.0,46.8,"УБ — Баянгол, Баянгол, Хороо 19",Баянгол,https://www.unegui.mn/adv/9522939_khoroolol-akhmadyn-emnelgiin-iag-khazhuud-gal-togoo-tusdaa-2-oroo-bair-khuda/,
Паркет,1 тагттай,2020,Байхгүй,Вакум,16,Төмөр,51.87 м²,3,Бэлэн төлөлтөөр зарах боломжтой,3,Ашиглалтад орсон,Цахилгаан шаттай,190 сая₮,190.0,51.87,"УБ — Баянзүрх, Баянзүрх, Хороо 42",Баянзүрх,https://www.unegui.mn/adv/9605083_2-oroo-bair-zarna/,
Паркет,1 тагттай,1980,Байхгүй,Вакум,6,Төмөр,54.0 м²,4,Бэлэн төлөлтөөр зарах боломжтой,4,Ашиглалтад орсон,Цахилгаан шатгүй,159 сая₮үнэ тохирно,159.0,54.0,"УБ — Баянзүрх, Баянзүрх, Хороо 7",Баянзүрх,https://www.unegui.mn/adv/9587132_bairlal-saitai-2-oroo-bair-zarna/,
Паркет,1 тагттай,2009,Байхгүй,Вакум,6,Бүргэд,47.0 м²,4,Банкны зээлээр авах боломжтой,2,Ашиглалтад орсон,Цахилгаан шатгүй,182 сая₮,182.0,47.0,"УБ — Баянгол, 25-р эмийн сан",Баянгол,https://www.unegui.mn/adv/9604281_51-r-surguuliin-khoino/,
Паркет,1 тагттай,1980,Байхгүй,Вакум,3,Бүргэд,45.0 м²,2,Бартераар зарах боломжтой,3,Ашиглалтад орсон,Цахилгаан шатгүй,245 сая₮үнэ тохирно,245.0,45.0,"УБ — Чингэлтэй, Чингэлтэй, Хороо 4",Чингэлтэй,https://www.unegui.mn/adv/9557556_baga-toiruud-2-oroo-bair-zarna/,
Паркет,1 тагттай,2017,Байхгүй,Вакум,12,Бүргэд,55.54 м²,6,Бэлэн төлөлтөөр зарах боломжтой,2,Ашиглалтад орсон,Цахилгаан шаттай,205.5 сая₮үнэ тохирно,205.5,55.54,"УБ — Баянгол, Баянгол, Хороо 11",Баянгол,https://www.unegui.mn/adv/9604152_ekh-nialkhasyn-chankh-khoino-55-5mkv-2-oroo-bair-3-7-saiad-zarna/,
Паркет,1 тагттай,2014,Байхгүй,Вакум,5,Бүргэд,40.0 м²,2,Банкны зээлээр авах боломжтой,2,Ашиглалтад орсон,Цахилгаан шатгүй,115 сая₮125 сая₮үнэ тохирно,115.0,40.0,"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 4",Сонгинохайрхан,https://www.unegui.mn/adv/9560853_skhd-t-2-oroo-bair-zarna-bairlal-saitai-21-r-khoroolold-orchlon-khoroolold/,
Плита,Тагтгүй,2015,Байхгүй,Вакум,16,Бүргэд,45.0 м²,1,Бэлэн төлөлтөөр зарах боломжтой,1,Ашиглалтад орсон,Цахилгаан шаттай,178 сая₮үнэ тохирно,178.0,45.0,"УБ — Сонгинохайрхан, Москва хороолол",Сонгинохайрхан,https://www.unegui.mn/adv/9603599_moskva-khoroolollyn-tov-zam-daguu-45mk-2-oroo/,
Паркет,1 тагттай,2010,Байгаа,Вакум,9,Бүргэд,71.23 м²,9,Бэлэн төлөлтөөр зарах боломжтой,2,Ашиглалтад орсон,Цахилгаан шаттай,368 сая₮үнэ тохирно,368.0,71.23,"УБ — Хан-Уул, Хан-Уул, Хороо 15",Хан-Уул,https://www.unegui.mn/adv/9602655_zhargalan-khotkhony-60-r-bairand-2-oroo-bair-zarna/,
Паркет,1 тагттай,2025,Байхгүй,Вакум,16,Бүргэд,48.71 м²,4,Бэлэн төлөлтөөр зарах боломжтой,2,Ашиглалтад орсон,Цахилгаан шаттай,185 сая₮,185.0,48.71,"УБ — Чингэлтэй, Компьютер молл",Чингэлтэй,https://www.unegui.mn/adv/9567596_shine-bair/,
Паркет,1 тагттай,2025,Байхгүй,Вакум,16,Төмөр,70.0 м²,13,Банкны зээлээр авах боломжтой,2,Ашиглалтад орсон,Цахилгаан шаттай,4.3 сая₮үнэ тохирно,4.3,70.0,"УБ — Хан-Уул, Яармаг",Хан-Уул,https://www.unegui.mn/adv/9330545_iaarmagiin-maxwell-khotkhond-oroo-bair-zarna/,
Паркет,1 тагттай,2024,Байхгүй,Вакум,16,Төмөр,52.1 м²,9,Бэлэн төлөлтөөр зарах боломжтой,2,Ашиглалтад орсон,Цахилгаан шаттай,234.45 сая₮,234.45,52.1,"УБ — Сүхбаатар, Сүхбаатар, Хороо 9",Сүхбаатар,https://www.unegui.mn/adv/9519613_dolgoon-nuurt-lago-verde-khotkhond-52-1mkv-2-oroo/,
Паркет,1 тагттай,2025,Байхгүй,Вакум,16,Бүргэд,49.66 м²,2,Банкны зээлээр авах боломжтой,2,Ашиглалтад орсон,Цахилгаан шаттай,173 сая₮үнэ тохирно,173.0,49.66,"УБ — Хан-Уул, Яармаг",Хан-Уул,https://www.unegui.mn/adv/9334604_maral-aialal-khotkhon/,
Паркет,1 тагттай,2024,Байхгүй,Вакум,16,Бүргэд,65.5 м²,10,Банкны зээлээр авах боломжтой,4,Ашиглалтад орсон,Цахилгаан шаттай,230 сая₮,230.0,65.5,"УБ — Хан-Уул, Яармаг",Хан-Уул,https://www.unegui.mn/adv/9600562_siti-palas-khotkhond-2-oroo-bair-iaarmag/,
